time,precip1,precip2,precip3,Precip4
1991-06-01,2.955703,1.867478,3.289282,6.586608
1991-07-01,0.7645755,1.145409,3.274346,3.281325
1991-08-01,0.2531063,0.8757696,4.657476,5.366583
1991-09-01,0.1134258,0.1810036,1.015108,1.269596
1991-10-01,0.08671051,0.4306729,0.7624775,0.5332268
1991-11-01,0.1312056,0.247811,0.7477485,1.115702
1991-12-01,0.0432868,0.04297503,0.1643336,0.09634588
1992-01-01,4.825322,5.225187,4.603545,4.701183
1992-02-01,5.241385,5.429458,7.29647,4.745922
1992-03-01,6.825966,5.465596,5.968602,5.272401
1992-04-01,4.081512,3.649186,3.221864,2.780064
1992-05-01,0.8194886,1.387473,1.455244,2.532589
1992-06-01,0.7167764,2.759136,4.319131,6.66393
1992-07-01,0.3014073,1.246693,4.118389,5.395618
1992-08-01,0.2390826,1.015086,1.603984,2.626111
1992-09-01,0.1547434,0.9221774,3.592432,3.186831
1992-10-01,0.09074989,0.04043969,0.2416206,0.1612419
1992-11-01,0.1120933,0.1354024,0.4657426,1.136519
1992-12-01,0.1034331,0.2155966,0.5617802,1.527691
1993-01-01,1.59064,0.752257,0.7992735,0.1812782
1993-02-01,1.383637,0.4166147,0.394457,0.4022804
1993-03-01,2.710383,1.129907,0.7055525,0.3757593
1993-04-01,2.916108,1.768583,1.603697,1.563516
1993-05-01,1.466974,1.862765,1.839235,3.474013
1993-06-01,1.868279,1.383652,3.043531,5.382587
1993-07-01,1.125453,1.975962,3.279315,2.948218
1993-08-01,0.6499848,0.2829754,1.056088,2.628155
1993-09-01,0.1421966,0.441796,0.4149838,1.208222
1993-10-01,0.4067377,0.4813825,2.471922,6.08363
1993-11-01,0.2239762,0.2353029,1.189321,0.4975396
1993-12-01,2.453115,0.1959333,0.54382,0.545409
1994-01-01,2.542805,3.1527,1.501347,0.4335197
1994-02-01,4.638472,4.044937,3.095422,1.49094
1994-03-01,7.38683,6.727706,3.97068,2.218452
1994-04-01,10.28427,5.373555,3.368866,3.917212
1994-05-01,5.662657,4.887471,7.10322,5.96165
1994-06-01,3.305221,7.525122,10.1724,10.15766
1994-07-01,2.709994,4.08248,5.125133,6.525699
1994-08-01,0.7153395,0.887924,2.165001,2.318931
1994-09-01,0.1802672,0.9084001,2.893484,2.801376
1994-10-01,0.06501399,0.03683925,0.7481346,0.8505948
1994-11-01,0.07140625,0.04024202,0.2381111,0.3330134
1994-12-01,1.991692,1.247867,0.8225815,0.6290972
1995-01-01,1.521175,0.822253,1.027806,0.3266969
1995-02-01,4.27737,2.869303,1.937339,0.827291
1995-03-01,6.792611,4.940888,2.08986,0.7697282
1995-04-01,11.59343,6.51651,4.655063,4.551748
1995-05-01,8.147373,6.73952,4.223297,5.490714
1995-06-01,4.174895,3.431734,6.004955,8.328723
1995-07-01,3.238933,4.466631,4.528667,5.778421
1995-08-01,0.9240938,0.2200193,1.317247,2.937435
1995-09-01,0.2975177,0.1763937,0.8470073,1.947842
1995-10-01,0.384374,0.01367735,0.1267512,0.08096443
1995-11-01,0.2032998,0.8528876,1.754041,3.446816
1995-12-01,0.1844859,0.1347682,0.3029698,0.2365107
1996-01-01,2.059914,1.614392,1.261146,0.8790885
1996-02-01,1.251178,2.461967,2.395421,0.8882588
1996-03-01,8.026594,6.788362,2.775085,1.716161
1996-04-01,8.339488,9.464076,8.330338,10.37052
1996-05-01,3.646982,2.41854,3.242842,5.192106
1996-06-01,1.979468,2.035923,4.886303,6.096069
1996-07-01,3.092143,1.992535,4.313223,4.328969
1996-08-01,1.153238,1.703822,4.004114,6.142024
1996-09-01,0.8484412,1.126709,1.4301,2.328862
1996-10-01,0.2528258,0.523245,0.7033852,0.9468215
1996-11-01,0.08537808,0.9601941,1.962693,3.627966
1996-12-01,0.1546887,0.2416618,0.5275404,0.9937318
1997-01-01,0.8130373,1.602759,2.145629,2.525003
1997-02-01,1.211809,2.859146,3.612727,3.178453
1997-03-01,5.500068,6.013531,5.988412,4.344932
1997-04-01,6.012785,5.770853,5.529283,6.511286
1997-05-01,4.551775,4.693769,6.61569,8.703119
1997-06-01,0.4456406,0.3926466,2.366596,5.502651
1997-07-01,0.330021,1.209746,4.226978,4.799535
1997-08-01,0.2381279,0.8158082,2.055008,3.025251
1997-09-01,0.09305883,0.01747427,0.231301,0.3746583
